timestamp,temperature,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description,Time,Pressure_self_corrected,Pressure_self
1759910400,10.38,9.51,1025,78,6.72,,75,10000,4.12,240,803,Clouds,broken clouds,2025-10-08 09:00:00+01:00,1025.0,
1759917600,12.66,11.89,1026,73,7.95,,40,10000,5.66,240,802,Clouds,scattered clouds,2025-10-08 11:00:00+01:00,1026.0,
1759924800,14.2,13.5,1025,70,8.81,,40,10000,6.69,280,802,Clouds,scattered clouds,2025-10-08 13:00:00+01:00,1024.9904468989569,1022.0229450090094
1759932000,15.17,14.44,1025,65,8.64,,40,10000,7.2,280,802,Clouds,scattered clouds,2025-10-08 15:00:00+01:00,1025.0,
1759939200,14.89,14.18,1025,67,8.83,,75,10000,7.72,270,803,Clouds,broken clouds,2025-10-08 17:00:00+01:00,1027.1564189115193,1024.1986564907409
1759946400,13.35,12.62,1026,72,8.41,,75,10000,5.66,260,803,Clouds,broken clouds,2025-10-08 19:00:00+01:00,1026.0,
1759953600,12.52,11.73,1027,73,7.82,,75,10000,6.17,240,803,Clouds,broken clouds,2025-10-08 21:00:00+01:00,1027.0,
1759960800,11.84,11.06,1027,76,7.75,,75,10000,6.69,270,803,Clouds,broken clouds,2025-10-08 23:00:00+01:00,1027.0,
1759968000,11.53,10.88,1027,82,8.57,,75,10000,5.66,240,803,Clouds,broken clouds,2025-10-09 01:00:00+01:00,1027.0,
1759975200,11.53,10.88,1027,82,8.57,,75,10000,5.66,240,803,Clouds,broken clouds,2025-10-09 03:00:00+01:00,1027.0,
1759982400,11.53,10.88,1027,82,8.57,,75,10000,5.66,240,803,Clouds,broken clouds,2025-10-09 05:00:00+01:00,1027.0,
1759989600,11.53,10.88,1028,82,8.57,,75,10000,5.66,270,803,Clouds,broken clouds,2025-10-09 07:00:00+01:00,1028.0,
1759996800,11.59,11.05,1029,86,9.33,,75,10000,4.12,240,300,Drizzle,light intensity drizzle,2025-10-09 09:00:00+01:00,1029.0,
1760004000,12.99,12.49,1029,82,9.99,,75,10000,5.66,270,803,Clouds,broken clouds,2025-10-09 11:00:00+01:00,1029.4769371294767,1026.5296091074383
1760011200,14.75,14.29,1030,77,10.76,,75,10000,5.66,240,803,Clouds,broken clouds,2025-10-09 13:00:00+01:00,1030.0,
1760018400,15.59,15.19,1030,76,11.38,,100,10000,6.17,270,804,Clouds,overcast clouds,2025-10-09 15:00:00+01:00,1030.0,
1760025600,14.92,14.5,1030,78,11.12,,75,10000,5.66,290,803,Clouds,broken clouds,2025-10-09 17:00:00+01:00,1030.0,
1760032800,14.01,13.63,1031,83,11.17,,75,10000,3.6,270,300,Drizzle,light intensity drizzle,2025-10-09 19:00:00+01:00,1029.512138165372,1026.5649684276527
1760040000,13.16,12.83,1032,88,11.22,,75,8000,2.57,220,310,Drizzle,light intensity drizzle rain,2025-10-09 21:00:00+01:00,1032.0,
1760047200,12.92,12.54,1033,87,10.81,,75,10000,3.6,230,803,Clouds,broken clouds,2025-10-09 23:00:00+01:00,1033.0,
1760054400,12.2,11.64,1033,83,9.4,,75,10000,4.12,280,803,Clouds,broken clouds,2025-10-10 01:00:00+01:00,1033.0,
1760061600,11.36,10.82,1033,87,9.28,,75,10000,3.58,280,803,Clouds,broken clouds,2025-10-10 03:00:00+01:00,1033.0,
1760068800,11.23,10.5,1033,80,7.91,,75,10000,3.6,260,803,Clouds,broken clouds,2025-10-10 05:00:00+01:00,1033.0,
1760076000,10.47,9.66,1035,80,7.17,,75,10000,4.63,250,803,Clouds,broken clouds,2025-10-10 07:00:00+01:00,1035.0,
1760083200,10.54,9.63,1035,76,6.49,,75,10000,5.14,300,803,Clouds,broken clouds,2025-10-10 09:00:00+01:00,1034.889548230918,1031.9665584545455
1760090400,10.41,9.54,1036,78,6.74,,75,10000,3.6,300,803,Clouds,broken clouds,2025-10-10 11:00:00+01:00,1036.0,
1760097600,11.92,11.13,1036,75,7.63,,75,10000,4.12,290,803,Clouds,broken clouds,2025-10-10 13:00:00+01:00,1036.0,
1760104800,11.76,10.95,1035,75,7.48,,75,10000,4.12,290,803,Clouds,broken clouds,2025-10-10 15:00:00+01:00,1035.0,
1760112000,11.53,10.75,1035,77,7.64,,75,10000,4.12,290,803,Clouds,broken clouds,2025-10-10 17:00:00+01:00,1033.9606767240252,1031.0335102014394
1760119200,10.75,10.0,1035,81,7.63,,75,10000,2.57,270,803,Clouds,broken clouds,2025-10-10 19:00:00+01:00,1035.0,
1760126400,11.04,10.24,1036,78,7.36,,75,10000,1.54,0,803,Clouds,broken clouds,2025-10-10 21:00:00+01:00,1036.0,
1760133600,10.3,9.5,1036,81,7.19,,100,10000,1.54,260,804,Clouds,overcast clouds,2025-10-10 23:00:00+01:00,1036.0,
1760140800,10.04,9.27,1036,83,7.29,,75,10000,2.57,300,803,Clouds,broken clouds,2025-10-11 01:00:00+01:00,1036.0,
1760148000,9.56,8.63,1036,82,6.64,,100,10000,2.06,260,804,Clouds,overcast clouds,2025-10-11 03:00:00+01:00,1036.0,
1760155200,9.2,7.83,1036,84,6.64,,100,10000,2.57,300,804,Clouds,overcast clouds,2025-10-11 05:00:00+01:00,1036.0,
1760162400,9.41,7.75,1036,82,6.5,,100,10000,3.09,320,804,Clouds,overcast clouds,2025-10-11 07:00:00+01:00,1036.0,
1760169600,9.34,8.23,1036,82,6.43,,100,10000,2.24,280,804,Clouds,overcast clouds,2025-10-11 09:00:00+01:00,1036.0,
