Time,Pressure_self,timestamp,temperature,feels_like,Pressure_weather,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_description
2025-10-01 08:37:49.003160954+01:00,1018.64006,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:50.064896106+01:00,1018.644104,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:51.126605988+01:00,1018.6483,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:52.188327074+01:00,1018.654022,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:53.250082016+01:00,1018.654633,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:54.311769009+01:00,1018.654633,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:55.373488903+01:00,1018.654022,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:56.435206890+01:00,1018.651886,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:57.496912956+01:00,1018.646774,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:58.558585882+01:00,1018.64212,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:37:59.620244026+01:00,1018.633347,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:00.681900978+01:00,1018.624268,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:01.743582010+01:00,1018.619232,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:02.805285931+01:00,1018.616714,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:03.866995096+01:00,1018.614807,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:04.928702116+01:00,1018.612289,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:05.990375996+01:00,1018.610535,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:07.052057028+01:00,1018.602448,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:08.113746881+01:00,1018.588333,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:09.175371885+01:00,1018.569717,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:10.237021923+01:00,1018.550873,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:11.298666+01:00,1018.532333,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:12.360311031+01:00,1018.513107,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:13.421958923+01:00,1018.496552,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:14.483568907+01:00,1018.476105,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:15.545190096+01:00,1018.456726,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:16.606798887+01:00,1018.439178,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:17.668371916+01:00,1018.428955,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:18.729928017+01:00,1018.418579,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:19.791523933+01:00,1018.411865,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:20.853095055+01:00,1018.408279,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:21.914674044+01:00,1018.402863,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:22.976248980+01:00,1018.393707,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:24.037812948+01:00,1018.384857,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:25.099351883+01:00,1018.379059,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:26.160877943+01:00,1018.36937,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:27.222414017+01:00,1018.361359,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:28.283895969+01:00,1018.353577,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:29.345438957+01:00,1018.344116,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:30.407028913+01:00,1018.334198,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:31.468559027+01:00,1018.326187,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:32.530085087+01:00,1018.319092,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:33.591576099+01:00,1018.310165,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:34.653110027+01:00,1018.303452,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:35.714611053+01:00,1018.296509,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:36.776140928+01:00,1018.289948,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:37.837656975+01:00,1018.279877,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:38.899183989+01:00,1018.271408,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:39.960695982+01:00,1018.26088,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:41.022187948+01:00,1018.251419,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:42.083626032+01:00,1018.243866,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:43.145072937+01:00,1018.239517,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:44.206553936+01:00,1018.237915,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:45.268002032+01:00,1018.237915,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:46.329432964+01:00,1018.240738,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:47.390868902+01:00,1018.243408,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:48.452347040+01:00,1018.247833,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:49.513850927+01:00,1018.248901,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:50.575301886+01:00,1018.250656,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:51.636735916+01:00,1018.256149,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:52.698204994+01:00,1018.26149,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:53.759650946+01:00,1018.26683,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:54.821135998+01:00,1018.27446,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:55.882574081+01:00,1018.283005,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:56.943988085+01:00,1018.287048,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:58.005423069+01:00,1018.288727,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
2025-10-01 08:38:59.066869974+01:00,1018.292084,1759305600,15.19,14.98,1022,85,12.69,,75,10000,10.29,210,803,Clouds,broken clouds
